Wall time,Step,Value
1775659639.7251856,7173376,145.0476531982422
1775659644.1807806,7173832,136.4210205078125
1775659688.954868,7178192,136.49107360839844
1775659694.2090957,7178648,140.1909637451172
1775659722.0875988,7181344,141.75205993652344
1775659744.739984,7183464,138.6402130126953
1775659773.4663281,7186160,142.01443481445312
1775659794.9109712,7188280,137.9534454345703
1775659822.100488,7190976,132.95407104492188
1775659841.119536,7192872,137.9094696044922
1775659871.0939672,7195792,134.02586364746094
1775659890.225611,7197688,143.1613006591797
1775659920.3837023,7200608,143.4210205078125
1775659939.5698624,7202504,144.99317932128906
1775659969.313108,7205424,142.65451049804688
1775659988.964286,7207320,144.0526885986328
1775660018.5082495,7210240,122.37399291992188
1775660037.5037074,7212136,111.60037231445312
1775660066.8581874,7215056,120.4031753540039
1775660086.0892987,7216952,126.02053833007812
1775660115.8123367,7219872,130.37042236328125
1775660134.8228772,7221768,152.81346130371094
1775660164.3596094,7224688,159.7582244873047
1775660183.611815,7226584,161.2428741455078
1775660213.6457357,7229504,167.52896118164062
1775660232.6281395,7231400,166.10479736328125
1775660253.3405797,7233464,170.5204315185547
1775660278.8467185,7235992,170.31744384765625
1775660302.3703706,7238280,169.80897521972656
1775660328.4958987,7240808,162.56475830078125
1775660351.7243268,7243096,140.95144653320312
1775660377.2600415,7245616,138.14974975585938
1775660394.3722003,7247272,133.36314392089844
1775660426.853648,7250432,138.55833435058594
1775660443.4625459,7252088,136.96295166015625
1775660475.4891388,7255248,137.52865600585938
1775660492.1380987,7256904,128.03135681152344
1775660524.6836073,7260064,121.12126159667969
1775660541.5958922,7261720,114.82427978515625
1775660573.3070683,7264880,116.02347564697266
1775660590.0367029,7266536,123.6177749633789
1775660622.2048833,7269696,143.00588989257812
1775660636.9955354,7271136,149.1674346923828
1775660669.4585466,7274344,142.13526916503906
1775660685.7953148,7275952,139.01475524902344
1775660718.4524071,7279160,123.06443786621094
1775660735.0905783,7280768,115.91748809814453
1775660756.2794895,7282840,114.78050994873047
1775660769.6056948,7284152,105.2729721069336
1775660801.2208993,7287296,96.53276062011719
1775660818.15886,7288968,105.44608306884766
1775660832.7936907,7290400,108.0465087890625
1775660866.869265,7293776,108.876220703125
1775660881.499829,7295216,110.65370178222656
1775660917.357821,7298592,95.49500274658203
1775660933.307094,7300032,113.85836029052734
1775660968.804932,7303240,112.2508544921875
1775660972.9366796,7303648,116.09490203857422
1775661017.4990747,7308056,115.99689483642578
1775661021.5968902,7308464,99.62853240966797
1775661066.8439472,7312872,99.00435638427734
1775661070.9202156,7313280,104.53682708740234
1775661115.9856625,7317688,104.91877746582031
1775661120.1203587,7318096,110.55252075195312
1775661165.283515,7322504,102.97795867919922
1775661169.4853618,7322912,96.33478546142578
1775661213.9805691,7327320,100.24915313720703
1775661218.0526013,7327728,106.06141662597656
1775661262.4001997,7332136,107.69775390625
1775661266.518411,7332544,111.01483154296875
1775661311.496435,7336952,121.00797271728516
1775661315.5572567,7337360,119.69564819335938
1775661359.7298884,7341768,120.73458099365234
1775661363.8557057,7342176,129.23095703125
1775661408.8340971,7346584,132.41346740722656
1775661413.0390077,7346992,132.3154296875
1775661450.8249424,7350720,129.07203674316406
1775661460.0142176,7351640,127.35963439941406
1775661499.8182876,7355536,127.6691665649414
1775661509.285681,7356456,147.0511932373047
1775661548.7230387,7360352,151.14305114746094
1775661557.8551044,7361272,160.6548309326172
1775661596.7928975,7365168,159.76866149902344
1775661606.1735156,7366088,160.17237854003906
1775661646.092381,7369984,182.35601806640625
1775661655.4099047,7370904,181.8475341796875
1775661695.0834804,7374800,174.8657684326172
1775661704.330481,7375720,179.6693572998047
1775661744.284592,7379616,181.10569763183594
1775661753.6629837,7380536,182.02716064453125
1775661792.6740098,7384432,186.45193481445312
1775661801.950384,7385352,188.62127685546875
1775661833.05666,7388432,174.5599365234375
1775661847.9165688,7389928,175.19265747070312
1775661876.7182996,7392784,180.4783935546875
1775661896.3717504,7394744,181.52369689941406
1775661925.1755624,7397600,191.03460693359375
1775661944.9254367,7399560,195.48916625976562
1775661974.2839813,7402416,190.96124267578125
